"id","latitude","longitude","elevation","state","name","gsn_flag","hcn_crn_flag","wmoid","geopoint"
USC00163433,29.4631,-90.3072,1.5,LA,GALLIANO                      ,   ,   ,,POINT(-90.3072 29.4631)
USC00166394,29.6833,-91.1761,1.5,LA,MORGAN CITY                   ,   ,   ,,POINT(-91.1761 29.6833)
USC00166670,29.95,-90.05,1.5,LA,NEW ORLEANS S&WB              ,   ,   ,,POINT(-90.05 29.95)
USC00167096,29.7892,-90.4286,1.5,LA,PARADIS 7 S                   ,   ,   ,,POINT(-90.4286 29.7892)
USC00166668,30.0489,-89.9522,-1.5,LA,NEW ORLEANS EASTOVER          ,   ,   ,,POINT(-89.9522 30.0489)
USC00165610,30.0306,-89.9636,-1.5,LA,LOUISIANA NATURE CTR          ,   ,   ,,POINT(-89.9636 30.0306)
US1LACD0026,32.6217,-93.885,72.5,LA,BLANCHARD 2.8 NNE             ,   ,   ,,POINT(-93.885 32.6217)
USC00168046,30.9461,-93.2789,72.5,LA,ROSEPINE RSCH STN             ,   ,   ,,POINT(-93.2789 30.9461)
US1LASN0003,31.7014,-93.407,80.5,LA,PLEASANT HILL 10.2 SE         ,   ,   ,,POINT(-93.407 31.7014)
US1LALN0008,32.5574,-92.5517,80.5,LA,RUSTON 5.4 ENE                ,   ,   ,,POINT(-92.5517 32.5574)
US1LAGR0001,31.5857,-92.6022,48.5,LA,DRY PRONG 4.3 W               ,   ,   ,,POINT(-92.6022 31.5857)
US1LACD0010,32.3625,-93.8981,62.5,LA,KEITHVILLE 4.2 WNW            ,   ,   ,,POINT(-93.8981 32.3625)
US1LADS0005,32.2346,-93.8377,89,LA,STONEWALL 2.4 SSW             ,   ,   ,,POINT(-93.8377 32.2346)
USC00164355,32.81,-93.0625,65.5,LA,HOMER 1N                      ,   ,   ,,POINT(-93.0625 32.81)
US1LASN0007,31.6798,-93.6553,69.5,LA,NOBLE 1.8 ESE                 ,   ,   ,,POINT(-93.6553 31.6798)
US1LABS0007,32.7044,-93.7594,73.5,LA,BENTON 1.4 NW                 ,   ,   ,,POINT(-93.7594 32.7044)
US1LACB0007,32.7905,-93.0505,73.5,LA,HOMER 0.5 ESE                 ,   ,   ,,POINT(-93.0505 32.7905)
USC00166466,30.9503,-90.3061,97.5,LA,MT HERMON 2W                  ,   ,   ,,POINT(-90.3061 30.9503)
US1LACN0002,31.6473,-91.5651,16.5,LA,FERRIDAY 1.1 NNW              ,   ,   ,,POINT(-91.5651 31.6473)
USC00169820,31.9833,-91.65,23.5,LA,WISNER                        ,   ,   ,,POINT(-91.65 31.9833)
USC00160945,30.7808,-89.8567,30.5,LA,BOGALUSA                      ,   ,   ,,POINT(-89.8567 30.7808)
USC00165090,32.8067,-91.173,30.5,LA,LAKE PROVIDENCE               ,   ,   ,,POINT(-91.173 32.8067)
US1LARP0009,31.3195,-92.4223,30.5,LA,PINEVILLE 1.0 SSW             ,   ,   ,,POINT(-92.4223 31.3195)
US1LAEB0028,30.6841,-91.2045,39,LA,ZACHARY 3.5 WNW               ,   ,   ,,POINT(-91.2045 30.6841)
US1LAUN0002,32.6805,-92.2236,39,LA,ROCKY BRANCH 1.3 W            ,   ,   ,,POINT(-92.2236 32.6805)
USC00164088,32.0667,-93.4333,43,LA,HARMON                        ,   ,   ,,POINT(-93.4333 32.0667)
USC00162143,32.0167,-93.35,43,LA,COUSHATTA 2                   ,   ,   ,,POINT(-93.35 32.0167)
USC00166584,31.8142,-93.0856,43,LA,NATCHITOCHES #2               ,   ,   ,,POINT(-93.0856 31.8142)
USC00163639,30.9667,-92.5833,43,LA,GLENMORA                      ,   ,   ,,POINT(-92.5833 30.9667)
US1LAMR0002,32.7602,-91.9047,43,LA,BASTROP 1.0 SSE               ,   ,   ,,POINT(-91.9047 32.7602)
